id,nome,quantidade_questoes,status
422,Museologia,1456,OK
423,Música,3343,OK
424,,0,NAO_ENCONTRADO
425,,0,NAO_ENCONTRADO
426,Operações Portuárias,2657288,OK
427,Órtese e Prótese,27,OK
428,,0,NAO_ENCONTRADO
429,,0,NAO_ENCONTRADO
430,,0,NAO_ENCONTRADO
431,,0,NAO_ENCONTRADO
432,,0,NAO_ENCONTRADO
433,,0,NAO_ENCONTRADO
434,,0,NAO_ENCONTRADO
435,,0,NAO_ENCONTRADO
436,,0,NAO_ENCONTRADO
437,Radiologia,11794,OK
438,,0,NAO_ENCONTRADO
439,,0,NAO_ENCONTRADO
440,Secretariado,2563,OK
441,,0,NAO_ENCONTRADO
442,Sistemas de Gás,23,OK
443,,0,NAO_ENCONTRADO
444,,0,NAO_ENCONTRADO
445,,0,NAO_ENCONTRADO
446,,0,NAO_ENCONTRADO
447,Técnicas Administrativas,61,OK
448,,0,NAO_ENCONTRADO
449,,0,NAO_ENCONTRADO
450,,0,NAO_ENCONTRADO
451,,0,NAO_ENCONTRADO
452,,0,NAO_ENCONTRADO
453,,0,NAO_ENCONTRADO
454,,0,NAO_ENCONTRADO
455,,0,NAO_ENCONTRADO
456,,0,NAO_ENCONTRADO
457,,0,NAO_ENCONTRADO
458,,0,NAO_ENCONTRADO
459,,0,NAO_ENCONTRADO
460,,0,NAO_ENCONTRADO
461,,0,NAO_ENCONTRADO
462,,0,NAO_ENCONTRADO
463,,0,NAO_ENCONTRADO
464,,0,NAO_ENCONTRADO
465,Técnicas em Laboratório,9360,OK
466,Técnicas em Prótese Dentária,2657288,OK
467,,0,NAO_ENCONTRADO
468,,0,NAO_ENCONTRADO
469,,0,NAO_ENCONTRADO
470,,0,NAO_ENCONTRADO
471,Técnicas em Topografia,122,OK
472,,0,NAO_ENCONTRADO
473,,0,NAO_ENCONTRADO
474,,0,NAO_ENCONTRADO
475,Tecnologia Educacional,25,OK
476,,0,NAO_ENCONTRADO
477,,0,NAO_ENCONTRADO
478,,0,NAO_ENCONTRADO
479,,0,NAO_ENCONTRADO
480,,0,NAO_ENCONTRADO
481,,0,NAO_ENCONTRADO
482,,0,NAO_ENCONTRADO
483,Teologia,80,OK
484,Turismo,1936,OK
485,"Vestuário, Moda e Estilismo",337,OK
486,,0,NAO_ENCONTRADO
487,Zootecnia,203,OK
488,,0,NAO_ENCONTRADO
489,Modelagem de Processos de Negócio (BPM),1526,OK
490,,0,NAO_ENCONTRADO
491,,0,NAO_ENCONTRADO
492,,0,NAO_ENCONTRADO
493,,0,NAO_ENCONTRADO
494,,0,NAO_ENCONTRADO
495,,0,NAO_ENCONTRADO
496,,0,NAO_ENCONTRADO
497,Direito Notarial e Registral,3104,OK
498,Engenharia de Automação,715,OK
499,Engenharia de Qualidade,511,OK
500,"Estatuto da Advocacia e da OAB, Regulamento Geral e Código de Ética e Disciplina da OAB",127,OK
501,Design Gráfico,4872,OK
502,Auditoria Governamental,3954,OK
503,Arquitetura de Software,8028,OK
504,Auditoria de Obras,2657288,OK
505,,0,NAO_ENCONTRADO
506,,0,NAO_ENCONTRADO
507,,0,NAO_ENCONTRADO
508,,0,NAO_ENCONTRADO
509,,0,NAO_ENCONTRADO
510,,0,NAO_ENCONTRADO
511,,0,NAO_ENCONTRADO
512,,0,NAO_ENCONTRADO
513,,0,NAO_ENCONTRADO
514,,0,NAO_ENCONTRADO
515,,0,NAO_ENCONTRADO
516,,0,NAO_ENCONTRADO
517,,0,NAO_ENCONTRADO
518,Engenharia Aeronáutica,1004,OK
519,Direito Urbanístico,3766,OK
520,,0,NAO_ENCONTRADO
521,História e Geografia de Estados e Municípios,14077,OK
522,,0,NAO_ENCONTRADO
523,Áudio e Vídeo,4811,OK
524,Metodologia da Investigação Policial,215,OK
525,,0,NAO_ENCONTRADO
526,,0,NAO_ENCONTRADO
527,,0,NAO_ENCONTRADO
528,,0,NAO_ENCONTRADO
529,,0,NAO_ENCONTRADO
530,Criminalística,1351,OK
531,,0,NAO_ENCONTRADO
532,Segurança Pública,801,OK
533,,0,NAO_ENCONTRADO
534,Estatuto da Pessoa Idosa - Lei nº 10.741 de 2003,2865,OK
535,,0,NAO_ENCONTRADO
536,,0,NAO_ENCONTRADO
537,,0,NAO_ENCONTRADO
538,,0,NAO_ENCONTRADO
539,,0,NAO_ENCONTRADO
540,,0,NAO_ENCONTRADO
541,,0,NAO_ENCONTRADO
542,,0,NAO_ENCONTRADO
543,,0,NAO_ENCONTRADO
544,,0,NAO_ENCONTRADO
545,,0,NAO_ENCONTRADO
546,Filosofia,4382,OK
547,,0,NAO_ENCONTRADO
548,,0,NAO_ENCONTRADO
549,,0,NAO_ENCONTRADO
550,História,20129,OK
551,Direito Econômico,784,OK
552,,0,NAO_ENCONTRADO
553,,0,NAO_ENCONTRADO
554,Criminologia,855,OK
555,,0,NAO_ENCONTRADO
556,Legislação da Justiça Militar,191,OK
557,Legislação dos Tribunais do Trabalho (TST e TRTs),548,OK
558,"Legislação dos TRFs, STJ, STF e CNJ",1444,OK
559,Legislação da PRF,384,OK
560,Direito Processual Civil - Novo Código de Processo Civil - CPC 2015,12463,OK
561,Alemão,566,OK
562,Ciências Navais,1,OK
563,,0,NAO_ENCONTRADO
564,Agropecuária,4328,OK
565,Cartografia,1,OK
566,Ciências,3270,OK
567,Ciências Humanas,14,OK
568,,0,NAO_ENCONTRADO
569,,0,NAO_ENCONTRADO
570,,0,NAO_ENCONTRADO
571,,0,NAO_ENCONTRADO
572,,0,NAO_ENCONTRADO
573,Mineração,6,OK
574,,0,NAO_ENCONTRADO
575,Saúde Pública,33427,OK
576,Zoologia,182,OK
577,Conhecimentos de Serviços Gerais,3467,OK
578,Engenharia Cartográfica,1825,OK
579,Estatuto da Pessoa com Deficiência - Lei nº 13.146 de 2015,4349,OK
580,Legislação dos Tribunais Eleitorais (TSE e TREs),537,OK
581,"Legislação dos Tribunais de Contas (TCU, TCEs e TCMs) e Ministérios Públicos de Contas",1866,OK
582,,0,NAO_ENCONTRADO
583,Legislação das Procuradorias Gerais dos Estados - PGE's,106,OK
584,,0,NAO_ENCONTRADO
585,Relações Internacionais,847,OK
586,Italiano,361,OK
587,Astronomia,297,OK
588,Tratados Internacionais,88,OK
589,Braille,1028,OK
590,Taquigrafia,33,OK
591,Linguística,1308,OK
592,Gestão de Saúde e Administração Hospitalar,768,OK
593,Direito Digital,3288,OK
594,Publicidade e Propaganda,479,OK
595,Legislação dos Municípios do Estado do Rio de Janeiro,1744,OK
596,Legislação dos Municípios do Estado de São Paulo,4317,OK
597,Legislação dos Municípios do Estado de Minas Gerais,2767,OK
598,Legislação dos Municípios do Estado do Paraná,2034,OK
599,Legislação dos Municípios do Estado do Rio Grande do Sul,6450,OK
600,Legislação dos Municípios do Estado de Santa Catarina,4118,OK
